title,price,link_item,image_url,discount_percent_list,rating_average,review_count,official
"Đầm maxi 2 dây dáng dài rộng chun ngưc, váy 2 dây đi biển bầu bí thoải mái",97000,https://tiki.vn/dam-maxi-2-day-dang-dai-rong-chun-nguc-vay-2-day-di-bien-bau-bi-thoai-mai-p174249107.html?spid=174249109,https://salt.tikicdn.com/cache/280x280/ts/product/18/b7/7d/dd50592f6dd7b7939cba45d48d742e58.jpg,0,3.0,1,0
Đầm sơ mi nữ công sở ARCTIC HUNTER AH52,199000,https://tiki.vn/dam-so-mi-nu-cong-so-arctic-hunter-ah52-p134333282.html?spid=134333302,https://salt.tikicdn.com/cache/280x280/ts/product/25/00/9c/5b02678cf19c895bb1e7c703e06c39d2.jpg,0,5.0,1,1
"Đầm suông kẻ sọc cổ sơ mi Linen kèm đai thắt eo, chất vải linen tự nhiên, thời trang phong cách Hàn Da73",199000,https://tiki.vn/dam-suong-ke-soc-co-so-mi-linen-kem-dai-that-eo-chat-vai-linen-tu-nhien-thoi-trang-phong-cach-han-da73-p183558599.html?spid=183558605,https://salt.tikicdn.com/cache/280x280/ts/product/42/36/4f/256ab7ad59e15ecdda80480d03dfe088.jpg,0,5.0,1,1
đầm hoa nhí xoè hoạ tiết hoa yêu lắm duyên dáng dễ  thương,238000,https://tiki.vn/dam-hoa-nhi-xoe-hoa-tiet-hoa-yeu-lam-duyen-dang-de-thuong-p52093685.html?spid=52093687,https://salt.tikicdn.com/cache/280x280/ts/product/98/3a/76/ca373eb470d3e512684acd37f0d69316.jpg,0,4.7,34,0
Đầm suông 2 lớp dáng yếm Linen tưng gân Premium thêu hoa xanh dương sang trọng ArcticHunter,399000,https://tiki.vn/dam-suong-2-lop-dang-yem-linen-tung-gan-premium-theu-hoa-xanh-duong-sang-trong-arctichunter-p197590073.html?spid=197590081,https://salt.tikicdn.com/cache/280x280/ts/product/db/ae/9b/f90c5eb522c7222ca74b8499eceae2ce.jpg,0,5.0,3,1
Đầm Hoa Trung Niên đẹp Che Bụng VH64 - Hàng Quảng Châu Cao Cấp,345000,https://tiki.vn/dam-hoa-trung-nien-dep-che-bung-vh64-hang-quang-chau-cao-cap-p195708587.html?spid=195708593,https://salt.tikicdn.com/cache/280x280/ts/product/32/f1/49/f87501bc28ac33a7e4cd8a13b456057d.jpg,0,5.0,1,0
"Đầm linen nữ dáng suông không tay, Váy suông đuôi cá chất đũi thoáng mát Đũi Việt DV38",229000,https://tiki.vn/dam-nu-dep-dang-suong-co-tron-vay-suong-duoi-ca-chat-dui-thoang-mat-dui-viet-dv38-p188835606.html?spid=188835610,https://salt.tikicdn.com/cache/280x280/ts/product/9b/27/06/0c0701f10f69beccfa91b2b9e128bbd9.jpg,0,0.0,0,1
"Đầm suông linen cổ V túi hộp thắt eo màu nâu, thời trang phong cách Hàn Da72",279000,https://tiki.vn/dam-suong-linen-co-v-tui-hop-that-eo-mau-nau-thoi-trang-phong-cach-han-da72-p187490456.html?spid=187490464,https://salt.tikicdn.com/cache/280x280/ts/product/3a/97/f1/0a221c2fa16b4e619930e45f36df3c30.jpg,0,5.0,1,1
Đầm Hoa Bèo Lai Ngực Cột Nơ Tiểu Thơ,188100,https://tiki.vn/dam-hoa-beo-lai-nguc-cot-no-tieu-tho-p95508445.html?spid=95508454,https://salt.tikicdn.com/cache/280x280/ts/product/52/1e/a3/091b539ef3d74d65621e38fc931a2979.jpg,0,4.8,6,0
"Đầm suông Linen bột Premium tay hến thêu hoa, cài khuy ngực ArcticHunter (Nâu đỏ, Trắng đục)",320000,https://tiki.vn/dam-suong-linen-bot-premium-tay-hen-theu-hoa-cai-khuy-nguc-arctichunter-nau-do-trang-duc-p197578716.html?spid=197578726,https://salt.tikicdn.com/cache/280x280/ts/product/91/23/de/692b83dd23377a5b78652ba3a08add70.jpg,0,2.0,2,1
