title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
Máy tính Mini PC NUCBOX GMK G3 intel N100 WiFi 6 + Bluetooth 5.2,2.968.000 ₫,https://www.lazada.vn/products/may-tinh-mini-pc-nucbox-gmk-g3-intel-n100-wifi-6-bluetooth-52-i2651204471.html,https://img.lazcdn.com/g/p/0a45f9371d6fad2e4779a294f159ca82.jpg_400x400q75.jpg_.webp,11,11,,Nghệ An,lazada,computerandlaptop,computer,11,0
"[NAVA] UM690 - Ryzen 9 6900HX | SER6 MAX 7735HS - Radeon 680M Máy tính Mini PC AMD Minisforum Beelink mát, êm NewEdition",8.690.000 ₫,https://www.lazada.vn/products/nava-um690-ryzen-9-6900hx-ser6-max-7735hs-radeon-680m-may-tinh-mini-pc-amd-minisforum-beelink-mat-em-newedition-i2624585524.html,https://img.lazcdn.com/g/p/057dfe7a69371d7365b7c5440ad10f69.jpg_400x400q75.jpg_.webp,12,12,,"7 Đã bán
(4)
Hồ Chí Minh",lazada,computerandlaptop,computer,12,0
MAC MINI LATE 2014: I5 2.8/RAM 16GB/SSD256+1Tb - Bảo hành 6 tháng,4.490.000 ₫,https://www.lazada.vn/products/mac-mini-late-2014-i5-28ram-16gbssd2561tb-bao-hanh-6-thang-i2188478086.html,https://img.lazcdn.com/g/ff/kf/Sb082b15359a944dd9a5aa544edaab308P.jpg_400x400q75.jpg_.webp,13,13,23% Off,"9 Đã bán
(3)
Hồ Chí Minh",lazada,computerandlaptop,computer,13,0
"Combo case máy tính DELL 3010 cấu hình core i5 3470, ram 8gb, ổ cứng 500gb và Màn hình LG 22inch FULL HD. Qùa Tặng bàn phím, chuột DELL, usb wifi",6.500.000 ₫,https://www.lazada.vn/products/combo-case-may-tinh-dell-3010-cau-hinh-core-i5-3470-ram-8gb-o-cung-500gb-va-man-hinh-lg-22inch-full-hd-qua-tang-ban-phim-chuot-dell-usb-wifi-i316898993.html,https://img.lazcdn.com/g/p/985b578cc6b16b848280e3dc3c04241f.jpg_400x400q75.jpg_.webp,14,14,30% Off,Hà Nội,lazada,computerandlaptop,computer,14,0
CASE máy tính để bàn DELL Optiplex 3060 SFF Core i7 8700 | RAM 16GB | SSD NVME 512GB. Hàng Nhập Khẩu Like new 98 - 99%. Bảo hành 24 tháng 1 đổi 1,6.396.000 ₫,https://www.lazada.vn/products/case-may-tinh-de-ban-dell-optiplex-3060-sff-core-i7-8700-ram-16gb-ssd-nvme-512gb-hang-nhap-khau-like-new-98-99-bao-hanh-24-thang-1-doi-1-i1321647692.html,https://img.lazcdn.com/g/ff/kf/S762bea985b1c4a939f395db03fddf6c2D.png_400x400q75.png_.webp,15,15,23% Off,"(1)
Hà Nội",lazada,computerandlaptop,computer,15,0
"[Trả góp 0%]Bộ máy tính để bàn DELL Optiplex cpu core i5 3470, Ram 16GB, ổ cứng SSD 240GB, HDD 1TB; Màn Hình DELL 22 inch. Tặng bàn phím chuột DELL, usb wifi. Bảo hành 1 đổi 1 trong 24 tháng.",8.450.000 ₫,https://www.lazada.vn/products/tra-gop-0bo-may-tinh-de-ban-dell-optiplex-cpu-core-i5-3470-ram-16gb-o-cung-ssd-240gb-hdd-1tb-man-hinh-dell-22-inch-tang-ban-phim-chuot-dell-usb-wifi-bao-hanh-1-doi-1-trong-24-thang-i265658399.html,https://img.lazcdn.com/g/p/df6bf644ce8ca1b4655327fea82ff604.jpg_400x400q75.jpg_.webp,16,16,30% Off,Hà Nội,lazada,computerandlaptop,computer,16,0
"[Trả góp 0%]Bộ máy tính VP LED Trắng + Màn 20 24 inch G2010 / i3-2100 / i5-2330-3330/ i7-2600 / Ram 4-8GB/ SSD 120-240GB ... [Tặng Phím chuột, thu wifi, bàn di] VPG2 VPi32 VPi52 VPi53 VPi72 LDV [ Đại việt computer - Máy tính Đại Việt ]",3.690.000 ₫,https://www.lazada.vn/products/tra-gop-0bo-may-tinh-vp-led-trang-man-20-24-inch-g2010-i3-2100-i5-2330-3330-i7-2600-ram-4-8gb-ssd-120-240gb-tang-phim-chuot-thu-wifi-ban-di-vpg2-vpi32-vpi52-vpi53-vpi72-ldv-dai-viet-computer-may-tinh-dai-viet-i313940697.html,https://img.lazcdn.com/g/p/9ea14583d78a382d38b38eda8f7c1b21.jpg_400x400q75.jpg_.webp,17,17,26% Off,"21 Đã bán
(6)
Hà Nội",lazada,computerandlaptop,computer,17,0
Máy tính để bàn DELL OPTIPLEX 7010 SFF i5 3470 || RAM 16GB || ổ cứng SSD 120GB + HDD 500GB. Hàng Nhập Khẩu,2.610.000 ₫,https://www.lazada.vn/products/may-tinh-de-ban-dell-optiplex-7010-sff-i5-3470-ram-16gb-o-cung-ssd-120gb-hdd-500gb-hang-nhap-khau-i206914804.html,https://img.lazcdn.com/g/p/c170fd3e0523467047836319467cd9cc.jpg_400x400q75.jpg_.webp,18,18,34% Off,"11 Đã bán
(1)
Hà Nội",lazada,computerandlaptop,computer,18,0
Case máy tính để bàn dell optiplex 9020 INTEL Core i7 4770 | RAM 8GB | ổ cứng SSD 240GB. Tặng usb wifi bàn di chuột.Bảo hành 2 năm - Hàng Nhập Khẩu [ máy tính đồng bộ dell optiplex 9020 ],3.182.700 ₫,https://www.lazada.vn/products/case-may-tinh-de-ban-dell-optiplex-9020-intel-core-i7-4770-ram-8gb-o-cung-ssd-240gb-tang-usb-wifi-ban-di-chuotbao-hanh-2-nam-hang-nhap-khau-may-tinh-dong-bo-dell-optiplex-9020-i217497910.html,https://img.lazcdn.com/g/p/458e527ed10f3579f9e67a9d963210c1.jpg_400x400q75.jpg_.webp,19,19,31% Off,"8 Đã bán
(2)
Hà Nội",lazada,computerandlaptop,computer,19,0
Máy tính ALL IN ONE - CASE DELL OPTIPLEX 5270 - LIKE NEW - FULL BOX - CPU I5 9500 / RAM 8GB / SSD 256GB / HDD 1TB / Màn hình 21.5 inch FULL HD. TẶNG KÈM bàn phím chuột DELL,8.590.000 ₫,https://www.lazada.vn/products/may-tinh-all-in-one-case-dell-optiplex-5270-like-new-full-box-cpu-i5-9500-ram-8gb-ssd-256gb-hdd-1tb-man-hinh-215-inch-full-hd-tang-kem-ban-phim-chuot-dell-i1303062759.html,https://img.lazcdn.com/g/p/a769cc715d1714fb8363dcab67063e91.jpg_400x400q75.jpg_.webp,20,20,18% Off,"37 Đã bán
(8)
Hà Nội",lazada,computerandlaptop,computer,20,0
