title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,official_idx,official
"Máy tính bảng siêu bền Panasonic FZ-G1 Core i5-6300U, 4gb ram, 256gb SSD, 10.1” Full HD cảm ứng đa điểm, siêu bền chống nước",5.500.000 ₫,https://www.lazada.vn/products/may-tinh-bang-sieu-ben-panasonic-fz-g1-core-i5-6300u-4gb-ram-256gb-ssd-101-full-hd-cam-ung-da-diem-sieu-ben-chong-nuoc-i2536561455.html,28,28,,Hưng Yên,lazada,28,
Laptop Acer Nitro AN515-45-R6EV | AMD Ryzen 5 5600H | Ram 8GB | SSD 512GB | 15.6 FHD 144Hz | GTX 1650 4GB,11.990.000 ₫,https://www.lazada.vn/products/laptop-acer-nitro-an515-45-r6ev-amd-ryzen-5-5600h-ram-8gb-ssd-512gb-156-fhd-144hz-gtx-1650-4gb-i2613853992.html,29,29,,Hồ Chí Minh,lazada,29,
[Trả góp 0%]XẢ HÀNG Thinkpad X250 Core i5 5200U Ram 8G SSD 256G 12.5inch FINGERS,2.633.780 ₫,https://www.lazada.vn/products/tra-gop-0xa-hang-thinkpad-x250-core-i5-5200u-ram-8g-ssd-256g-125inch-fingers-i1216542221.html,30,30,55% Off,"11 Đã bán
(3)
Hồ Chí Minh",lazada,30,
LAPTOP HỌC SINH CẤP 1 ĐẦY ĐỦ PHỤ KIỆN CHÍNH HÃNG (BẢO HÀNH 1 NĂM),1.815.491 ₫,https://www.lazada.vn/products/laptop-hoc-sinh-cap-1-day-du-phu-kien-chinh-hang-bao-hanh-1-nam-i2634627082.html,31,31,9% Off,Hồ Chí Minh,lazada,31,
Bán Xác Laptop Sony. Giá bán 400k.,363.280 ₫,https://www.lazada.vn/products/ban-xac-laptop-sony-gia-ban-400k-i2345983179.html,32,32,9% Off,Tiền Giang,lazada,32,
Laptop MSI Cyborg 15 A12UCX-281VN i5-12450H | 8GB | 512GB | RTX 2050 - Hàng Chính Hãng,20.125.000 ₫,https://www.lazada.vn/products/laptop-msi-cyborg-15-a12ucx-281vn-i5-12450h-8gb-512gb-rtx-2050-hang-chinh-hang-i2624971503.html,33,33,20% Off,Hồ Chí Minh,lazada,33,
Dell Inspiron 5558 i5 5250U VGA 15.6-Inch FHD Touch,4.500.000 ₫,https://www.lazada.vn/products/dell-inspiron-5558-i5-5250u-vga-156-inch-fhd-touch-i2586428727.html,34,34,,Hồ Chí Minh,lazada,34,
[Trả góp 0%]HP Elitebook 8560p Core i5 2520M Ram 4G 500GB - 15.6inch,2.880.000 ₫,https://www.lazada.vn/products/tra-gop-0hp-elitebook-8560p-core-i5-2520m-ram-4g-500gb-156inch-i827926569.html,35,35,52% Off,"31 Đã bán
(10)
Hồ Chí Minh",lazada,35,
Laptop Asus TUF Gaming FX506HF-HN017W,13.900.000 ₫,https://www.lazada.vn/products/laptop-asus-tuf-gaming-fx506hf-hn017w-i2608347736.html,36,36,,Hồ Chí Minh,lazada,36,
Surface Laptop 3 13.5 inch Intel Core i5 / RAM 8GB / SSD 128GB (Platinum) Laptop Giá Rẻ Học Sinh,23.952.000 ₫,https://www.lazada.vn/products/surface-laptop-3-135-inch-intel-core-i5-ram-8gb-ssd-128gb-platinum-laptop-gia-re-hoc-sinh-i1857737313.html,37,37,48% Off,"8 Đã bán
Hà Nội",lazada,37,
