title,price,link_item,index_,discount_idx,discount_percent_list,countReviews
oppo neo 5 ( a31 ) ram 1gb bộ nhớ 8gb-16gb giá rẻ,259.000 ₫,https://www.lazada.vn/products/oppo-neo-5-a31-ram-1gb-bo-nho-8gb-16gb-gia-re-i1452697362.html,22,22.0,4% Off,"137 Đã bán
(26)
Nam Định"
[E - VOUCHER] lPHONE 13 PROMAX 256GB FULL BOX - QUÀ TẶNG - SỰ KIỆN,29.000 ₫,https://www.lazada.vn/products/e-voucher-lphone-13-promax-256gb-full-box-qua-tang-su-kien-i2633280685.html,23,23.0,42% Off,"45 Đã bán
(24)
Hồ Chí Minh"
"điện thoại Samsung Galaxy J7 Pro 2sim ram 3G/32G mới, màn hình 5.5inch, Chiến PUBG/Liên Quân Chất",799.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-j7-pro-2sim-ram-3g32g-moi-man-hinh-55inch-chien-pubglien-quan-chat-i2281733231.html,24,,,"15 Đã bán
(7)
Hồ Chí Minh"
"Điện Thoại ĨP 6 PIus bản Q-Tế lắp sim,cài đầy đủ game và ứng dụng.Bảo hành 12 Tháng",895.000 ₫,https://www.lazada.vn/products/dien-thoai-ip-6-pius-ban-q-te-lap-simcai-day-du-game-va-ung-dungbao-hanh-12-thang-i2415113798.html,25,25.0,31% Off,"20 Đã bán
(8)
Nam Định"
"Điện thoại cũ SS J5 Prime ram 2gb/16gb , máy đẹp giá rẻ",399.000 ₫,https://www.lazada.vn/products/dien-thoai-cu-ss-j5-prime-ram-2gb16gb-may-dep-gia-re-i1634338861.html,26,26.0,15% Off,"20 Đã bán
(8)
Nam Định"
Điện thoại samsung j3pro,420.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-j3pro-i2389414505.html,27,,,"19 Đã bán
(10)
Hồ Chí Minh"
"Điện thoại cũ ss J2 prime ram 1,5Gb có 4G",269.000 ₫,https://www.lazada.vn/products/dien-thoai-cu-ss-j2-prime-ram-15gb-co-4g-i1452696531.html,28,,,"213 Đã bán
(60)
Nam Định"
iPhone 15 - Hàng Chính Hãng VN/A,19.890.000 ₫,https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,29,29.0,13% Off,"919 Đã bán
(205)
Hồ Chí Minh"
Apple iPhone 15 128GB,20.215.000 ₫,https://www.lazada.vn/products/apple-iphone-15-128gb-i2418227476.html,30,30.0,25% Off,Hồ Chí Minh
Xiaomi Poco M6 Pro 8GB 256GB,5.990.000 ₫,https://www.lazada.vn/products/xiaomi-poco-m6-pro-8gb-256gb-i2581900771.html,31,31.0,8% Off,Hồ Chí Minh
"Điện thoại mới 99% , Samsung j730 ( j7 pro ) ram 3gb bộ nhớ 32gb siêu nét , siêu mượt",869.000 ₫,https://www.lazada.vn/products/dien-thoai-moi-99-samsung-j730-j7-pro-ram-3gb-bo-nho-32gb-sieu-net-sieu-muot-i1445238005.html,32,32.0,3% Off,"76 Đã bán
(29)
Nam Định"
Điện thoại Samsung j7 prime ram 3gb bộ nhớ 32gb giá rẻ,619.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-j7-prime-ram-3gb-bo-nho-32gb-gia-re-i1445137624.html,33,33.0,6% Off,"52 Đã bán
(20)
Nam Định"
Điện Thoại Iphone14promax Fupo Snow 13 Mẫu Mới Apple 14pro Mẫu Nữ IP12 Siêu Mỏng 11 Camera Bao Toàn Bộ 14plus Hot Mạng Nguyên Bản Hoạt Hình Bạn Gái Đáng Yêu Da Cừu Chống Rơi,234.650 ₫,https://www.lazada.vn/products/dien-thoai-iphone14promax-fupo-snow-13-mau-moi-apple-14pro-mau-nu-ip12-sieu-mong-11-camera-bao-toan-bo-14plus-hot-mang-nguyen-ban-hoat-hinh-ban-gai-dang-yeu-da-cuu-chong-roi-i2413839939.html,34,34.0,53% Off,"5 Đã bán
(1)
Hồ Chí Minh"
[SALE ĐẬM CHỈ 10.5][TẶNG Buds2 Pro + Duo Charger - KIỂM TRA GIỎ HÀNG] Điện thoại Samsung Galaxy S24 Ultra - Điện thoại AI - Camera 200MP Zoom 100x - S Pen - Snapdragon 8 Gen 3,33.990.000 ₫,https://www.lazada.vn/products/sale-dam-chi-105tang-buds2-pro-duo-charger-kiem-tra-gio-hang-dien-thoai-samsung-galaxy-ultra-dien-thoai-ai-camera-200mp-zoom-100x-s-pen-snapdragon-8-gen-3-i2540035297.html,35,,,"924 Đã bán
(244)
Hồ Chí Minh"
"[ RẺ HỦY DIỆT ] điện thoại Xiaomi Redmi Note 3 Pro 2sim ram 2G/16G máy Chính Hãng, Cấu hình siêu khủng, Cày game nặng mượt mà, Camera siêu nét, Bảo hành 12 tháng - NNT 02",399.000 ₫,https://www.lazada.vn/products/re-huy-diet-dien-thoai-xiaomi-redmi-note-3-pro-2sim-ram-2g16g-may-chinh-hang-cau-hinh-sieu-khung-cay-game-nang-muot-ma-camera-sieu-net-bao-hanh-12-thang-nnt-02-i2521164214.html,36,36.0,42% Off,"124 Đã bán
(53)
Hồ Chí Minh"
Samsung Galaxy A55 5G 128GB,9.690.000 ₫,https://www.lazada.vn/products/samsung-galaxy-a55-5g-128gb-i2601055623.html,37,37.0,3% Off,Hồ Chí Minh
[ BIG SALE ] - lPHONE 15 PROMAX - 512 GB - FULL BOXX - QUÀ TẶNGG,29.000 ₫,https://www.lazada.vn/products/big-sale-lphone-15-promax-512-gb-full-boxx-qua-tangg-i2639494455.html,38,38.0,42% Off,"20 Đã bán
(19)
Hồ Chí Minh"
Điện Thoại cảm ứng 5S quốc tế 64/32/16GB dùng sim clloud sạch đã sử dụng app cơ bản - kèm sạc,550.000 ₫,https://www.lazada.vn/products/dien-thoai-cam-ung-5s-quoc-te-643216gb-dung-sim-clloud-sach-da-su-dung-app-co-ban-kem-sac-i2374521419.html,39,39.0,8% Off,Đăk Lăk
"(Full Box Mới 100%) Điện Thoại Nokia 105 (2021) 4G 2 Sim, Pin Khủng, Loa To Cho Người Lớn Tuổi",225.000 ₫,https://www.lazada.vn/products/full-box-moi-100-dien-thoai-nokia-105-2021-4g-2-sim-pin-khung-loa-to-cho-nguoi-lon-tuoi-i2422021060.html,40,,,"49 Đã bán
(15)
Hà Nội"
